A1: Ladder,B1: 4878,C1: 3607,D1: 786,E1: 3159,F1: 280,G1: 338,H1: 1550,A2: 5182,B2: 1145,C2: 2666,D2: 3973,E2: 734,F2: n1,G2: n2,H2: n3
0,0,0,0,0,0,0,0.3062344,0,0,0,0,0,0,0,0.1357947
0,0,0,0,0,0,0,0.2708382,0,0,0,0,0,0,0,0.143406
0,0,0,0,0,0,0,0.2054567,0,0,0,0,0,0,0,0.2123031
0,0,0,0,0,0,0,0.1984535,0,0,0,0,0,0,0,0.2392454
0,0,0,0,0,0,0,0.1665072,0,0,0,0,0,0,0,0.2606198
0,0,0,0,0,0,0,0.2460492,0,0,0,0,0,0,0,0.2732384
0,0,0,0,0,0,0,0.2769353,0,0,0,0,0,0,0,0.2950199
0,0,0,0,0,0,0,0.2783616,0,0,0,0,0,0,0,0.2583988
0,0,0,0,0,0,0,0.2750418,0,0,0,0,0,0,0,0.2414138
0,0,0,0,0,0,0,0.2821283,0,0,0,0,0,0,0,0.2628239
0,0,0,0,0,0,0,0.2491944,0,0,0,0,0,0,0,0.3142568
0,0,0,0,0,0,0,0.187875,0,0,0,0,0,0,0,0.3476839
0,0,0,0,0,0,0,0.193309,0,0,0,0,0,0,0,0.3466375
0,0,0,0,0,0,0,0.1624635,0,0,0,0,0,0,0,0.331243
0,0,0,0,0,0,0,0.09243613,0,0,0,0,0,0,0,0.2737558
0,0,0,0,0,0,0.2057674,0.08108573,0,0,0,0,0,0,0,0.1790833
0,0,0,0,0,0,0.1948956,0.1116014,0,0,0,0,0,0,0,0.1512467
0,0,0,0,0,0,0.2123623,0.1486302,0,0,0,0,0,0,0,0.1714709
0,0,0,0,0,0,0.2066643,0.177277,0,0,0,0,0,0,0,0.1938556
0,0,0,0,0,0,0.1828514,0.1920402,0,0,0,0,0,0,0,0.1901151
0,0,0,0,0,0,0.1505962,0.1999027,0,0,0,0,0,0,0,0.2010864
0,0,0,0,0,0,0.1233658,0.1754245,0,0,0,0,0,0,0,0.1786909
0,0,0,0,0,0,0.1429694,0.1691494,0,0,0,0,0,0,0,0.1420734
0,0,0,0,0,0.1155404,0.1654069,0.1514759,0,0,0,0,0,0,0.07940777,0.1541011
0,0,0,0,0,0.198003,0.2250227,0.1208318,0,0,0,0,0,0,0.1933284,0.1509083
0,0,0,0,0,0.0786543,0.2862024,0.1175712,0,0,0,0,0,0,0.2274312,0.1785357
0,0,0,0,0,0.01713708,0.3194783,0.09040514,0,0,0,0,0,0,0.1833577,0.2293346
0,0,0,0,0,0.0006017903,0.3197972,0.1031864,0,0,0,0,0,0,0.1538434,0.259488
0.8650199,0,0,0,0,0.04343604,0.3180448,0.152226,0,0,0,0,0,0,0.2362395,0.2353059
1.161955,0,0,0,0,0.05741471,0.2805389,0.1648903,0,0,0,0,0,0,0.3394756,0.2376546
1.113198,0,0,0,0,0.07109676,0.2033247,0.1610799,0,0,0,0,0,0,0.3772461,0.2224474
0.9394116,0,0,0,0,0.05902037,0.1440632,0.09743751,0,0,0,0,0,0,0.3334588,0.1606882
0.864231,0,0,0.2202875,0.2927501,0.004369798,0.1454481,0.06780075,0,0,0,0,0,0.04419112,0.2427189,0.1808704
0.8200074,0,0,0.2013762,0.2562678,0.01181244,0.2101961,0.04017218,0,0,0,0,0,0.1245887,0.1880628,0.2646744
0.6599501,0,0,0.1350275,0.2496205,0.02923644,0.2824384,0.05009964,0,0,0,0,0,0.1411135,0.1584664,0.2820544
0.4820142,0,0,0.1069937,0.2344986,0.07723755,0.2918254,0.06076062,0,0,0,0,0,0.1350561,0.228986,0.2653064
0.5816271,0,0,0.08816244,0.1777147,0.1031864,0.2191627,0.06872951,0,0,0,0,0.0582327,0.1328671,0.3115015,0.2398978
0.7381764,0,0,0.1184111,0.1008579,0.1284707,0.1672335,0.05371704,0,0,0,0,0.1888393,0.1284832,0.3248313,0.2120641
0.6815355,0.04482389,0.04833831,0.1663493,0.1202055,0.1411631,0.08923133,0.08271316,0,0,0,0,0.204532,0.1979996,0.2106398,0.1794114
0.7577603,0.0833712,0.1224234,0.184962,0.1206759,0.113307,0.01716619,0.1026935,0,0,0,0,0.1887751,0.1975814,0.1245834,0.2052334
0.8322775,0.09479933,0.1296082,0.2196674,0.1319268,0.1034979,0.004603029,0.08345699,0,0,0,0,0.1373693,0.1837446,0.06049075,0.2479939
0.7921242,0.1301744,0.09627985,0.1318786,0.143099,0.1042992,0.04971089,0.1195413,0,0,0,0,0.04196249,0.2017415,0.02840299,0.3292439
0.8493708,0.1559022,0.04219241,0.07107839,0.1668532,0.1349158,0.06155225,0.1492796,0,0,0,0.1365206,0.003983085,0.1585235,0.09044386,0.3304156
0.9745733,0.1996278,0.08798894,0.00313127,0.179769,0.08383562,0.09079883,0.1399547,0,0,0,0.09460562,0.1371023,0.1738882,0.1936316,0.3314998
1.095005,0.1299922,0.1678054,0.03380595,0.2282831,0.08266837,0.13934,0.1434201,0,0,0,0.07331423,0.1802946,0.2064651,0.2306254,0.3295851
0.9017093,0.07779051,0.2120765,0.07655782,0.2874232,0.09807412,0.1639226,0.1833898,0,0,0,0.1130347,0.1991635,0.2704627,0.2857485,0.2802951
0.6176265,0.04304399,0.1625749,0.1461566,0.2605914,0.08633656,0.1543299,0.1773638,0,0,0,0.08582499,0.2439917,0.2916329,0.2903606,0.2141336
0.3233253,0.003775253,0.1879987,0.2000558,0.30074,0.1016528,0.1217736,0.1383554,0,0,0,0.02916674,0.2239193,0.3164573,0.249045,0.1166575
0.01001408,0.05526762,0.1710147,0.1666287,0.21759,0.1518192,0.1583131,0.1423518,0,0,0,0.001272547,0.1298987,0.3191932,0.1981804,0.08762166
