FileName,Well,Sample Description,Size [bp],Calibrated Conc. [pg/µl],Assigned Conc. [pg/µl],Peak Molarity [pmol/l],% Integrated Area,Peak Comment,Observations
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,25,312,,19200,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,50,81.6,,2510,8.97,,
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,100,87.9,,1350,9.67,,
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,200,110,,848,12.12,,
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,300,125,,640,13.72,,
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,400,133,,513,14.65,,
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,500,132,,407,14.56,,
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,700,119,,261,13.05,,
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,1000,121,,185,13.25,,
2025-07-23 - 14.34.15.HSD1000,A1,Ladder,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,B1,4878,25,330,,20300,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,B1,4878,412,79.9,,299,70.48,,
2025-07-23 - 14.34.15.HSD1000,B1,4878,465,33.5,,111,29.52,,
2025-07-23 - 14.34.15.HSD1000,B1,4878,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,C1,3607,25,321,,19800,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,C1,3607,483,91.3,,291,100.00,,
2025-07-23 - 14.34.15.HSD1000,C1,3607,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,D1,786,25,324,,19900,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,D1,786,493,97.5,,304,100.00,,
2025-07-23 - 14.34.15.HSD1000,D1,786,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,E1,3159,25,324,,19900,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,E1,3159,469,68.5,,224,76.30,,
2025-07-23 - 14.34.15.HSD1000,E1,3159,562,21.3,,58.2,23.70,,
2025-07-23 - 14.34.15.HSD1000,E1,3159,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,F1,280,25,328,,20200,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,F1,280,585,3.32,,8.71,100.00,,
2025-07-23 - 14.34.15.HSD1000,F1,280,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,G1,338,25,364,,22400,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,G1,338,473,119,,385,100.00,,
2025-07-23 - 14.34.15.HSD1000,G1,338,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,H1,1550,25,380,,23400,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,H1,1550,494,116,,360,100.00,,
2025-07-23 - 14.34.15.HSD1000,H1,1550,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,A2,5182,25,327,,20100,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,A2,5182,443,82.6,,287,100.00,,
2025-07-23 - 14.34.15.HSD1000,A2,5182,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,B2,1145,25,321,,19800,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,B2,1145,578,12.2,,32.5,100.00,,
2025-07-23 - 14.34.15.HSD1000,B2,1145,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,C2,2666,25,328,,20200,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,C2,2666,446,104,,358,100.00,,
2025-07-23 - 14.34.15.HSD1000,C2,2666,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,D2,3973,25,328,,20200,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,D2,3973,489,62.7,,197,100.00,,
2025-07-23 - 14.34.15.HSD1000,D2,3973,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,E2,734,25,337,,20700,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,E2,734,228,32.6,,220,23.81,,
2025-07-23 - 14.34.15.HSD1000,E2,734,484,104,,331,76.19,,
2025-07-23 - 14.34.15.HSD1000,E2,734,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,F2,n1,25,357,,22000,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,F2,n1,409,106,,400,100.00,,
2025-07-23 - 14.34.15.HSD1000,F2,n1,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,G2,n2,25,360,,22200,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,G2,n2,336,76.1,,348,23.42,,
2025-07-23 - 14.34.15.HSD1000,G2,n2,471,249,,813,76.58,,
2025-07-23 - 14.34.15.HSD1000,G2,n2,1500,250,250,256,,,Upper Marker
2025-07-23 - 14.34.15.HSD1000,H2,n3,25,395,,24300,,,Lower Marker
2025-07-23 - 14.34.15.HSD1000,H2,n3,409,111,,417,100.00,,
2025-07-23 - 14.34.15.HSD1000,H2,n3,1500,250,250,256,,,Upper Marker
